@relation abulones

@attribute sexo {M,F,A}
@attribute longitud numeric
@attribute diametro numeric
@attribute altura numeric
@attribute peso_total numeric
@attribute peso_esqueleto numeric
@attribute peso_organos numeric
@attribute peso_concha numeric
@attribute clasificaciones {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29}

@data
F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11
F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
A,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
A,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
A,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
A,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
A,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12
M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13
F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16
F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8
A,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
A,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12
M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
A,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10
M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
A,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9
A,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7
F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7
A,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
A,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,?
